Artist,Score,Rank,Number Of Albums
iron maiden,20285,1,17
opeth,19579,2,13
mastodon,16675,3,8
clutch,16398,4,13
deftones,16173,5,9
napalm death,15835,6,17
motorhead,15262,7,22
ac/dc,15233,8,16
enslaved,15180,9,15
converge,14866,10,10
every time i die,14312,11,9
slipknot,14138,12,7
biffy clyro,13923,13,9
judas priest,13638,14,18
foo fighters,13449,15,10
green day,13037,16,13
lamb of god,12864,17,9
metallica,12665,18,10
machine head,12560,19,10
slayer,12441,20,12
bring me the horizon,12242,21,7
meshuggah,12012,22,10
the beatles,12000,23,12
the dillinger escape plan,11914,24,7
architects,11856,25,10
queens of the stone age,11837,26,7
neurosis,11743,27,12
rush,11726,28,19
enter shikari,11586,29,6
weezer,11532,30,14
darkthrone,11506,31,20
korn,11347,32,14
megadeth,11332,33,16
nine inch nails,11313,34,10
cult of luna,11141,35,9
the bronx,11115,36,6
jimmy eat world,11068,37,10
the rolling stones,11000,38,11
black sabbath,10969,39,19
killing joke,10917,40,15
electric wizard,10744,41,9
trivium,10703,42,10
isis,10653,43,5
avenged sevenfold,10525,44,7
rammstein,10513,45,8
coheed and cambria,10467,46,10
alkaline trio,10194,47,9
muse,10167,48,9
ghost,9881,49,5
killswitch engage,9851,50,8
baroness,9819,51,5
radiohead,9513,52,9
you me at six,9490,53,7
thrice,9350,54,10
swans,9294,55,15
ihsahn,9244,56,7
marilyn manson,9236,57,11
fall out boy,9226,58,7
bob dylan,9000,59,9
anathema,8683,60,11
paradise lost,8551,61,16
aereogramme,8506,62,4
pearl jam,8496,63,11
tool,8492,64,5
parkway drive,8408,65,7
panic at the disco,8392,66,7
gojira,8387,67,7
watain,8383,68,7
while she sleeps,8369,69,5
carcass,8360,70,7
cave in,8352,71,8
cathedral,8246,72,10
high on fire,8042,73,8
rise against,7902,74,9
testament,7879,75,12
paramore,7877,76,5
funeral for a friend,7836,77,7
neck deep,7775,78,4
anthrax,7650,79,11
against me,7526,80,7
alice cooper,7515,81,28
gallows,7475,82,4
blink 182,7456,83,8
frank turner,7436,84,9
billy talent,7365,85,6
the menzingers,7311,86,6
lower than atlantis,7245,87,5
all time low,7152,88,8
mogwai,7067,89,11
behemoth,7041,90,12
david bowie,7000,91,7
bruce springsteen,7000,91,7
led zeppelin,7000,91,7
queen,7000,91,7
deep purple,7000,91,6
lostprophets,6983,96,5
pantera,6910,97,9
ozzy osbourne,6864,98,13
waterparks,6840,99,4
alice in chains,6838,100,6
bullet for my valentine,6803,101,7
twin atlantic,6770,102,6
the wonder years,6754,103,7
don broco,6740,104,4
beartooth,6720,105,4
kylesa,6704,106,7
the gaslight anthem,6695,107,5
satyricon,6660,108,10
the wildhearts,6649,109,9
norma jean,6629,110,9
down,6452,111,4
deafheaven,6442,112,5
touche amore,6406,113,5
grand magus,6393,114,9
my chemical romance,6348,115,4
soundgarden,6324,116,6
kiss,6321,117,20
code orange,6310,118,4
mayhem,6304,119,7
rolo tomassi,6278,120,6
employed to serve,6270,121,4
frank carter and the rattlesnakes,6263,122,4
creeper,6190,123,4
stray from the path,6186,124,10
faith no more,6178,125,7
pelican,6146,126,6
the mars volta,6145,127,7
turnstile,6083,128,3
fugazi,6026,129,6
pink floyd,6000,130,6
the who,6000,130,6
van halen,6000,130,6
neil young,6000,130,5
placebo,5971,134,8
twenty one pilots,5899,135,6
afi,5872,136,11
frank iero and the patience,5866,137,4
nile,5840,138,9
deaf havana,5836,139,6
zeal and ardor,5833,140,3
boston manor,5829,141,5
red hot chili peppers,5820,142,13
akercocke,5816,143,6
cancer bats,5776,144,7
a perfect circle,5774,145,4
brand new,5728,146,5
torche,5717,147,6
a day to remember,5677,148,7
tribulation,5669,149,5
fucked up,5628,150,6
the xcerts,5611,151,4
him,5575,152,8
system of a down,5447,153,5
cradle of filth,5422,154,13
state champs,5362,155,4
katatonia,5343,156,11
the darkness,5331,157,7
stone sour,5296,158,6
immortal,5286,159,9
autopsy,5269,160,8
as it is,5251,161,4
young guns,5215,162,4
godflesh,5214,163,8
against the current,5181,164,3
celtic frost,5123,165,6
the white stripes,5118,166,6
future of the left,5091,167,5
alexisonfire,5077,168,5
monster magnet,5071,169,11
asking alexandria,5040,170,7
scorpions,5034,171,19
ministry,5005,172,15
aerosmith,5000,173,5
death,5000,173,5
ramones,5000,173,5
and you will know us by the trail of dead,4964,176,11
jesu,4948,177,8
devin townsend project,4941,178,5
5ive,4912,179,3
silverchair,4897,180,5
orange goblin,4895,181,9
bury tomorrow,4892,182,6
dream theater,4866,183,15
blut aus nord,4848,184,15
underoath,4773,185,9
sepultura,4757,186,15
spirit adrift,4728,187,4
pallbearer,4713,188,4
letlive,4711,189,4
beastie boys,4668,190,8
idles,4639,191,4
deathspell omega,4636,192,9
incubus,4629,193,8
pvris,4608,194,3
real friends,4536,195,4
rancid,4524,196,9
the prodigy,4510,197,7
rage against the machine,4496,198,4
melvins,4486,199,26
65daysofstatic,4475,200,6
primordial,4471,201,9
wolves in the throne room,4455,202,7
smashing pumpkins,4433,203,11
spiritual beggars,4426,204,9
alter bridge,4409,205,7
stand atlantic,4407,206,4
emperor,4359,207,4
venom prison,4275,208,3
suicide silence,4243,209,6
will haven,4242,210,6
pierce the veil,4239,211,4
defeater,4235,212,5
burzum,4230,213,13
fear factory,4226,214,10
yob,4138,215,8
halsey,4132,216,4
glassjaw,4116,217,3
the ghost of a thousand,4112,218,2
four year strong,4056,219,7
corrosion of conformity,4054,220,10
a a williams,4046,221,2
the national,4035,222,8
babymetal,4032,223,3
reuben,4021,224,3
good charlotte,4000,225,7
def leppard,4000,225,4
rainbow,4000,225,4
velvet underground,4000,225,4
genesis,4000,225,4
elvis costello,4000,225,4
morbid angel,4000,225,4
blue oyster cult,4000,225,4
the police,4000,225,4
the grateful dead,4000,225,3
motley crue,4000,225,4
the clash,4000,225,4
the byrds,4000,225,4
john mellencamp,4000,225,4
fleetwood mac,4000,225,3
rotting christ,3995,240,13
moose blood,3988,241,3
and so i watch you from afar,3987,242,7
taking back sunday,3972,243,7
knuckle puck,3967,244,3
set it off,3919,245,5
pig destroyer,3901,246,6
masters of reality,3888,247,6
alcest,3883,248,6
cynic,3883,248,4
voivod,3861,250,15
sleep token,3860,251,2
the distillers,3848,252,3
cursive,3839,253,9
eyehategod,3833,254,6
winterfylleth,3798,255,7
wstr,3779,256,3
kvelertak,3774,257,4
this will destroy you,3765,258,6
ulver,3764,259,12
the king blues,3737,260,6
linkin park,3730,261,7
in flames,3727,262,13
the haunted,3721,263,9
cannibal corpse,3712,264,15
body count,3704,265,7
idlewild,3684,266,8
devildriver,3683,267,8
pup,3677,268,4
sigur ros,3667,269,7
tesseract,3660,270,4
at the gates,3655,271,6
arch enemy,3655,271,11
new found glory,3635,273,10
ash,3629,274,8
marmozets,3622,275,2
feeder,3622,275,11
devil sold his soul,3620,277,4
sunn o))),3597,278,11
lonely the brave,3565,279,4
mariachi el bronx,3564,280,3
these arms are snakes,3563,281,3
lingua ignota,3561,282,4
the story so far,3552,283,4
triptykon,3545,284,2
oceansize,3544,285,4
amyl and the sniffers,3538,286,2
bolt thrower,3535,287,8
hell is for heroes,3529,288,3
royal blood,3528,289,3
the black dahlia murder,3517,290,9
trash boat,3508,291,3
myrkur,3482,292,3
this wild life,3478,293,4
svalbard,3467,294,3
chelsea wolfe,3465,295,6
genghis tron,3442,296,3
janes addiction,3442,296,4
basement,3430,298,4
saint vitus,3424,299,9
refused,3405,300,5
papa roach,3400,301,11
cobalt,3393,302,4
stick to your guns,3369,303,7
the bled,3369,303,4
